,0,1,2,3,4,5,6,7,8,9,10,11,12
0,Cef Ticker,Current price,52 Wk Avg price,52 Wk High price,52 Wk Low price,Current Nav,52 Wk Avg Nav,52 Wk High Nav,52 Wk Low Nav,Current P/D,52 Wk Avg P/D,52 Wk High P/D,52 Wk Low P/D
334,EVG,$13.40,$13.34,$14.26,$12.38,$13.05,$13.60,$13.98,$13.02,2.68%,-1.85%,3.97%,-9.71%
335,DMO,$15.37,$15.30,$16.29,$13.83,$15.30,$15.25,$15.78,$14.72,0.46%,0.34%,4.39%,-6.77%
336,JHS,$14.72,$15.68,$16.40,$14.70,$15.18,$16.00,$16.43,$15.18,-3.03%,-2.04%,0.33%,-6.24%
337,KF,$34.71,$42.86,$46.88,$33.05,$38.76,$49.99,$54.43,$38.36,-10.45%,-14.25%,-10.45%,-16.71%
338,GLQ,$13.01,$15.07,$16.31,$12.72,$13.05,$15.77,$18.38,$13.05,-0.31%,-4.11%,5.00%,-14.57%
339,MHF,$7.82,$8.05,$8.91,$7.38,$8.03,$8.11,$8.24,$7.99,-2.62%,-0.79%,8.51%,-7.93%
340,FMN,$14.82,$15.16,$16.97,$14.00,$15.51,$15.73,$16.08,$15.36,-4.45%,-3.63%,7.09%,-9.40%
341,MCN,$8.07,$7.87,$8.54,$6.81,$7.48,$7.64,$8.04,$7.17,7.89%,3.05%,10.19%,-4.70%
342,CEE,$25.45,$26.85,$31.46,$23.26,$30.08,$31.29,$36.26,$27.64,-15.39%,-14.21%,-11.00%,-16.55%
343,JPT,$24.44,$24.70,$26.40,$23.74,$24.39,$24.65,$25.11,$24.13,0.21%,0.20%,1.72%,-1.47%
344,WEA,$13.65,$14.28,$14.87,$13.65,$14.14,$14.60,$14.89,$14.14,-3.47%,-2.13%,0.47%,-5.89%
345,VMM,$14.09,$13.80,$14.44,$12.85,$14.99,$15.10,$15.31,$14.84,-6.00%,-8.61%,-4.41%,-13.06%
346,ECF,$11.93,$14.07,$17.34,$11.70,$12.84,$14.70,$16.09,$12.84,-7.09%,-4.37%,6.29%,-10.87%
347,JHI,$18.31,$18.50,$19.60,$17.35,$18.12,$18.67,$19.13,$18.12,1.05%,-0.91%,5.33%,-5.78%
348,HEQ,$13.21,$12.65,$13.81,$11.13,$13.23,$13.24,$13.84,$12.68,-0.15%,-4.45%,3.30%,-12.38%
349,CXE,$5.00,$5.21,$5.53,$4.93,$5.33,$5.39,$5.52,$5.27,-6.19%,-3.37%,2.23%,-7.99%
